Overflow Type,Municipality/Facility,NPDES #,Date Discovered,Time Discovered,Days,Minutes,Hours,Location,Zip Code,Latitude,Longitude,Collection-System,Quantity in Gallons (Estimated),Net in Gallons (Estimated),Cause,Watershed,Receiving waters,County,Comments,Penalty Collected,Penalty Notes
SSO,American Water Military Services,N/A,3/29/2011,4:45:00 PM,0,1,0,"8133B Lawson Loop, Fort Meade",20724,,,Fort Meade WWTP,89,89,Baby whips & debris,,Unknown,Anne Arundel,None,,
SSO,"Army, Department of",N/A,10/21/2009,11:00:00 AM,0,1,0,"MH # 7202 off 33 Calvery Rd., Ft. Meade",20755,,,Ft. Meade WWTP,500,500,Baby wipes & rags,,Unknown,Anne Arundel,None,,
SSO,City of Baltimore,N/A,1/1/2005,8:16:00 PM,0,2,0,5300 Falls Rd,21209,,,Patapsco WWTP,600,600,Blockage,,Jones Falls,City of Baltimore,None,,
SSO,City of Baltimore,N/A,1/2/2005,12:03:00 PM,0,3,0,6200 Ship View Way,21224,,,Back River WWTP,891,891,Blockage,,Inner Harbor,City of Baltimore,None,,
SSO,City of Baltimore,N/A,1/2/2005,10:00:00 PM,0,1,0,1800 Park Ave,21217,,,Patapsco WWTP,300,300,Blockage,,Jones Falls,City of Baltimore,None,,
SSO,"Ridgely, Commissioners of",N/A,1/3/2005,9:00:00 AM,0,0,20,Between Liberty & Bell Sts,21660,,,,10,10,Blockage,,Unknown,Caroline,Collection system not provided,,
SSO,City of Baltimore,N/A,1/3/2005,10:30:00 AM,1,4,15,4601 Franklintown Rd,21229,,,Patapsco WWTP,24975,24975,Blockage,,Gwynn's Falls,City of Baltimore,None,,
SSO,WSSC,N/A,1/3/2005,3:23:00 PM,0,21,0,"18101-57 Town Center Dr, MH/26003011",20832,,,,1890,1890,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,WSSC,N/A,1/4/2005,11:40:00 AM,0,8,0,"6800 Killarney St, MH/04021030U",20735,,,,1080,1080,Blockage,,Unnamed tributary,Prince George's,Collection system not provided,,
SSO,Baltimore County DPW,N/A,1/5/2005,2:30:00 PM,0,1,0,2539 Cedar Lane,21207,,,Patapsco WWTP,200,200,Blockage,,Unknown,Baltimore County,None,,
SSO,Baltimore County DPW,N/A,1/9/2005,1:05:00 PM,0,1,0,976 Sandalwood Rd,21221,,,Back River WWTP,100,100,Blockage,,Deep Creek,Baltimore County,None,,
SSO,City of Baltimore,N/A,1/9/2005,2:30:00 PM,0,3,0,1 Edgevale Rd,21210,,,Patapsco WWTP,1260,1260,Blockage,,Jones Falls,City of Baltimore,None,,
SSO,City of Baltimore,N/A,1/10/2005,8:00:00 PM,0,1,0,3524 Lyndales Ave,21213,,,Back River WWTP,300,300,Blockage,,Herring Run,City of Baltimore,None,,
SSO,WSSC,N/A,1/11/2005,2:30:00 PM,0,3,0,"700 Quince Orchard Rd, Gaithersburg, MH #15010027",20878,,,,360,360,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,1/13/2005,9:00:00 AM,0,4,0,4600 Franklintown Rd,21216,,,Patapsco WWTP,3600,3600,Blockage,,Gwynn's Falls,City of Baltimore,None,,
SSO,WSSC,N/A,1/14/2005,1:40:00 PM,0,0,12,"6902 Kent Town Dr, MH 03-025-002u",20785,,,,500,500,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,Town of Federalsburg,N/A,1/16/2005,12:30:00 AM,0,24,0,MH before PS,21632,,,,20000,20000,Blockage,,Marshyhope Creek,Caroline,Collection system not provided,,
SSO,Baltimore County DPW,N/A,1/17/2005,11:30:00 AM,0,1,20,Cantwell Rd & Giard Dr,21244,,,,150,150,Blockage,,Unknown,Baltimore County,Collection system not provided,,
SSO,City of Baltimore,N/A,1/18/2005,10:00:00 AM,0,1,0,4600 Franklintown Rd,21216,,,Patapsco WWTP,300,300,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,1/19/2005,9:41:00 AM,0,4,30,"3803 23rd Pkwy, Temple Hills, MH 18031119M",20748,,,,500,500,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,WSSC,N/A,1/19/2005,4:09:00 PM,0,1,0,"7204 13th Ave, MH 0601206m",20912,,,,1,1,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,1/25/2005,8:00:00 AM,0,4,0,4600 Franklintown Rd,21216,,,Patapsco WWTP,2400,2400,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Baltimore County DPW,N/A,1/27/2005,9:30:00 AM,0,1,30,208 Symington Ave,21228,,,Patapsco WWTP,130,130,Blockage,,Patapsco River,Baltimore County,None,,
SSO,Baltimore County DPW,N/A,1/28/2005,1:30:00 PM,0,0,10,"1150 Old Court Rd, Woodstock",21163,,,,200,200,Blockage,,Peach Run,Baltimore County,Collection system not provided,,
SSO,City of Baltimore,N/A,1/30/2005,1:00:00 PM,0,1,0,23 S. Mount Olivet Ln,21223,,,Back River WWTP,600,600,Blockage,,Gwynn's Falls,City of Baltimore,None,,
SSO,"Army, Department of",N/A,1/31/2005,10:30:00 AM,3,0,0,3500 Ernie Pyle St in Patriot Ridge housing on Fort Meade,21114,,,Ft. Meade WWTP,50000,50000,Blockage,,Midway,Anne Arundel,Collection system not provided,,
SSO,City of Baltimore,N/A,1/31/2005,1:50:00 PM,0,0,35,1304 Wildwood Parkway,21223,,,Back River WWTP,175,175,Blockage,,Gwynn's Falls,City of Baltimore,None,,
SSO,City of Baltimore,N/A,2/3/2005,12:00:00 PM,0,1,0,4300 Frederick Ave,21229,,,Patapsco WWTP,1505,1505,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,2/3/2005,2:20:00 PM,0,2,0,"14101 Georgia Ave, MH 05131088M",20853,,,,310,310,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,"Rising Sun, Town of",N/A,2/4/2005,4:15:00 PM,,,,"MH between Fossett Insurance Co and car wash, 50 yards off MD/273",21911,,,,0,0,Blockage,,Unknown,Cecil,Duration & collection system not provided,,
SSO,Town of Emmitsburg,N/A,2/7/2005,8:00:00 AM,0,6,0,MH #81 on Welty Ave,21727,,,,5000,5000,Blockage,,Little Run,Frederick,Collection system not provided,,
SSO,WSSC,N/A,2/9/2005,12:25:00 PM,0,3,0,"10734 Tucker St, MH 08062031U",20705,,,,100,100,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,City of Baltimore,N/A,2/13/2005,5:00:00 PM,0,1,0,4600 N. Franklintown Rd,21216,,,Patapsco WWTP,1500,1500,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Howard County DPW,N/A,2/15/2005,5:00:00 PM,0,16,0,Right-of-Way between Beaverkill Rd and Eliot Oak Rd,21044,,,,4000,4000,Blockage,,Unknown,Howard,Collection system not provided,,
SSO,Baltimore County DPW,N/A,2/16/2005,8:45:00 AM,0,1,0,in rear of 9243 Owings Choice Ct,21117,,,Patapsco WWTP,200,200,Blockage,,Horsehead Branch,Baltimore County,None,,
SSO,City of Baltimore,N/A,2/16/2005,1:00:00 PM,0,2,20,3300 Gilman Terrace,21211,,,Patapsco WWTP,350,350,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,2/17/2005,12:00:00 AM,0,11,0,1200 Steelton Ave,21224,,,Back River WWTP,1980,1980,Blockage,,Inlets,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,2/17/2005,8:00:00 AM,0,3,0,3000 Chestnut Ave,21211,,,Patapsco WWTP,900,900,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Charles County DPW,N/A,2/18/2005,8:30:00 AM,0,2,45,Charles County Detention Center,20646,,,,450,450,Blockage,,Unknown,Charles,Collection system not provided,,
SSO,Corporation of Woodsboro,N/A,2/18/2005,12:00:00 PM,0,23,0,Woodsboro WWTP,21798,,,,66000,66000,Blockage,,Unknown,Frederick,Collection system not provided,,
SSO,"Bowie, City of",N/A,2/19/2005,9:15:00 AM,0,5,15,12626 Brunswick Lane,20715,38.972606,76.731608,Bowie WWTP,500,500,Blockage,,Unknown,Prince George's,None,,
SSO,Baltimore County DPW,N/A,2/19/2005,11:45:00 AM,0,2,15,Gwynn Oak Ave @ Park Dr,21207,,,Patapsco WWTP,1000,1000,Blockage,,Gwynn's Falls,Baltimore County,None,,
SSO,City of Baltimore,N/A,2/20/2005,4:40:00 PM,0,1,55,4107 Rondo Ct,21225,,,Back River WWTP,1725,1725,Blockage,,Patapsco River,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,2/23/2005,10:00:00 AM,0,1,0,119 Hawthorne Rd,21210,,,Patapsco WWTP,180,180,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,2/23/2005,11:00:00 AM,0,7,0,500 Collins Ave,21229,,,Patapsco WWTP,10500,10500,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Anne Arundel County DPW,N/A,2/26/2005,11:00:00 AM,,,,3519 Falling Run Rd,20724,,,,900,900,Blockage,,Unknown,Anne Arundel,Duration & collection system not provided,,
SSO,Anne Arundel County DPW,N/A,2/26/2005,11:00:00 AM,,,,Potomac Creek Rd in wooded row,20701,,,,900,900,Blockage,,Unknown,Anne Arundel,Duration & collection system not provided,,
SSO,Worcester County DPW,N/A,3/2/2005,9:00:00 AM,0,1,0,45 Anchor Way Drive in Mystic Harbour,21811,,,,300,300,Blockage,,Unknown,Worcester,Collection system not provided,,
SSO,City of Baltimore,N/A,3/3/2005,10:00:00 AM,0,1,0,3700 Windsor Mill Rd,21216,,,Patapsco WWTP,300,300,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,3/4/2005,11:05:00 AM,0,4,0,"6600 Crain Hwy, MH 14001030N",20772,,,,120,120,Blockage,,Unknown,Prince George's,Collection system not provided,,
SSO,Anne Arundel County DPW,N/A,3/5/2005,4:15:00 PM,0,1,30,792 Ruxshire Dr,21012,,,,1000,1000,Blockage,,Mill Creek,Anne Arundel,Collection system not provided,,
SSO,Baltimore County DPW,N/A,3/6/2005,10:20:00 AM,0,4,55,323 Walgrove Rd,21136,,,,150,150,Blockage,,Gwynn's Falls,Baltimore County,Collection system not provided,,
SSO,WSSC,N/A,3/6/2005,2:30:00 PM,0,4,0,"17200 Longdraft Rd, MH 1500818m",20677,,,,720,720,Blockage,,Clopper Lake,Montgomery,Collection system not provided,,
SSO,"Cambridge, City of",N/A,3/7/2005,8:00:00 AM,,,,CSO Outfall 013 (Muir Street),21613,,,,1000,1000,Blockage,,Unknown,Dorchester,Duration & collection system not provided,,
SSO,City of Baltimore,N/A,3/8/2005,9:00:00 AM,0,2,0,3200 W. Northern Pkwy,21209,,,Patapsco WWTP,6000,6000,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Baltimore County DPW,N/A,3/11/2005,10:00:00 AM,0,0,0,8911 Talc Dr,21237,,,Back River WWTP,1950,1950,Blockage,,Stemmers Run,Baltimore County,Collection system not provided,,
SSO,City of Baltimore,N/A,3/13/2005,7:30:00 AM,0,4,0,4600 Franklintown Rd,21216,,,Patapsco WWTP,24000,24000,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,3/13/2005,3:30:00 PM,0,3,0,"11316 Huntover Dr, MH 0791147N",20850,,,,225,225,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,3/15/2005,11:00:00 AM,0,1,0,1700 N. Hilton St,21216,,,Patapsco WWTP,180,180,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,WSSC,N/A,3/19/2005,3:18:00 PM,0,3,0,"9778 Athletic Way, No MH information provided",20878,,,,20,20,Blockage,,Unknown,Montgomery,Collection system not provided,,
SSO,WSSC,N/A,3/21/2005,10:00:00 AM,0,6,0,"6600 Kenilworth Ave, MH 08035103U",20737,,,,360,360,Blockage,,Anacostia River,Prince George's,Collection system not provided,,
SSO,WSSC,N/A,3/21/2005,12:45:00 PM,0,7,0,"12518 R/W Davan Dr, MH 10065036U",20904,,,,1875,1875,Blockage,,Northwest Branch,Montgomery,Collection system not provided,,
SSO,City of Baltimore,N/A,3/22/2005,12:00:00 PM,0,4,0,4800 Yellowwood Ave,21215,,,Patapsco WWTP,3600,3600,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,City of Baltimore,N/A,3/23/2005,1:00:00 PM,0,1,0,2632 N. Hilton St,21216,,,Patapsco WWTP,1500,1500,Blockage,,Gwynn's Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,Baltimore County DPW,N/A,3/25/2005,7:30:00 AM,0,64,0,3456 Carriage Hill Circle,21133,,,,250000,250000,Blockage,,Brice Run,Baltimore County,Collection system not provided,,
SSO,City of Baltimore,N/A,3/27/2005,5:00:00 PM,0,1,0,331 W. University Pkwy,21210,,,Patapsco WWTP,300,300,Blockage,,Jones Falls,City of Baltimore,Lat/Long could not be obtained with the address provided,,
SSO,"Bowie, City of",N/A,3/28/2005,1:00:00 PM,0,0,10,"16550 Annapolis Rd, Bowie WWTP",20724,38.999167,76.725556,Bowie WWTP,2000,2000,Blockage,,Unknown,Prince George's,None,,
